loan_id,document_status
L-100000,Pending
L-100001,Pending
L-100002,Available
L-100003,Pending
L-100004,Missing
L-100005,Available
L-100007,Available
L-100008,Available
L-100009,Expired
L-101203,Expired
L-100011,Available
L-100012,Missing
L-100013,Missing
L-100014,Pending
L-100015,Missing
L-100016,Missing
L-100017,Expired
L-100018,Expired
L-100019,Missing
L-100020,Expired
L-100021,Expired
L-100022,Pending
L-100023,Pending
L-100346,Pending
L-100025,Expired
L-100026,Expired
L-100027,Available
L-100029,Expired
L-100030,Missing
L-100031,Expired
L-100032,Pending
L-100033,Expired
L-100034,Missing
L-100035,Pending
L-100036,Pending
L-100037,Pending
L-100038,Available
L-100039,Pending
L-100040,Expired
L-100041,Available
L-100042,Missing
L-100043,Expired
L-100044,Expired
L-100045,Expired
L-100046,Available
L-100047,Pending
L-100048,Missing
L-100096,Missing
L-100050,Missing
L-100051,Pending
L-100052,Missing
L-100053,Expired
L-100054,Available
L-100055,Missing
L-100056,Available
L-100057,Pending
L-100058,Available
L-100059,Available
L-100060,Missing
L-100061,Pending
L-100062,Missing
L-100063,Missing
L-100064,Available
L-100065,Expired
L-100066,Missing
L-100067,Expired
L-100068,Pending
L-100069,Missing
L-100070,Pending
L-100071,Expired
L-100072,Expired
L-100073,Missing
L-100074,Missing
L-100075,Available
L-100076,Missing
L-100077,Available
L-100078,Missing
L-100079,Expired
L-100080,Available
L-100081,Available
L-100082,Missing
L-100083,Expired
L-100084,Pending
L-100085,Missing
L-100086,Pending
L-100087,Pending
L-100607,Expired
L-100089,Available
L-100090,Pending
L-100091,Missing
L-100092,Available
L-100093,Available
L-100094,Expired
L-100095,Missing
L-100096,Missing
L-100097,Available
L-100098,Expired
L-100099,Pending
L-100100,Available
L-100101,Available
L-100102,Available
L-100103,Pending
L-100104,Pending
L-100105,Missing
L-100106,Expired
L-100107,Pending
L-100108,Missing
L-100109,Expired
L-100110,Pending
L-100111,Pending
L-100112,Pending
L-100113,Missing
L-100114,Missing
L-100115,Expired
L-100117,Available
L-100118,Pending
L-100119,Missing
L-100120,Missing
L-100121,Available
L-100122,Available
L-100123,Expired
L-100124,Missing
L-100125,Missing
L-100126,Expired
L-100127,Expired
L-100128,Missing
L-100129,Pending
L-100130,Missing
L-100131,Expired
L-100132,Available
L-100133,Expired
L-100134,Pending
L-100135,Expired
L-100136,Available
L-100138,Available
L-100139,Missing
L-100140,Missing
L-100141,Pending
L-100142,Missing
L-100143,Available
L-100144,Available
L-100145,Available
L-100146,Available
L-100147,Available
L-100148,Expired
L-100149,Missing
L-100150,Missing
L-100151,Pending
L-100152,Expired
L-100153,Expired
L-100154,Expired
L-100155,Pending
L-100156,Pending
L-100157,Expired
L-100158,Pending
L-100159,Expired
L-100160,Available
L-100161,Expired
L-100162,Missing
L-100163,Pending
L-100164,Expired
L-100165,Available
L-100166,Missing
L-100167,Pending
L-100168,Pending
L-100169,Expired
L-100170,Missing
L-100171,Missing
L-100172,Missing
L-100173,Pending
L-100174,Expired
L-100175,Pending
L-100176,Expired
L-100177,Pending
L-100178,Available
L-100179,Pending
L-100180,Pending
L-100181,Expired
L-100182,Missing
L-100183,Pending
L-100184,Available
L-100185,Expired
L-100186,Pending
L-100187,Expired
L-100188,Missing
L-100189,Pending
L-100190,Available
L-100191,Pending
L-100192,Available
L-100193,Expired
L-100194,Expired
L-100195,Expired
L-100196,Pending
L-100197,Pending
L-100198,Expired
L-100199,Pending
L-100200,Expired
L-100201,Available
L-100202,Available
L-100203,Missing
L-100204,Missing
L-100205,Expired
L-100206,Pending
L-100207,Missing
L-100208,Missing
L-100209,Expired
L-100210,Pending
L-100211,Pending
L-100212,Missing
L-100213,Available
L-100214,Available
L-100215,Missing
L-100216,Missing
L-100217,Missing
L-100218,Pending
L-100219,Available
L-100220,Pending
L-100221,Pending
L-100222,Pending
L-100223,Expired
L-100224,Pending
L-100225,Missing
L-100226,Expired
L-100227,Missing
L-100228,Missing
L-100229,Expired
L-100230,Expired
L-100231,Expired
L-100232,Available
L-100233,Pending
L-100234,Available
L-100235,Pending
L-100236,Missing
L-100237,Expired
L-100238,Pending
L-100239,Missing
L-100240,Available
L-100241,Missing
L-100242,Expired
L-100243,Available
L-100244,Available
L-100245,Missing
L-100246,Expired
L-100247,Missing
L-100248,Missing
L-101939,Missing
L-100250,Available
L-100251,Available
L-100252,Missing
L-100253,Pending
L-100254,Missing
L-100255,Pending
L-100256,Missing
L-100257,Missing
L-100258,Missing
L-100259,Pending
L-100260,Available
L-100261,Available
L-100262,Pending
L-100263,Expired
L-100264,Missing
L-100265,Pending
L-100266,Available
L-100267,Expired
L-100268,Expired
L-100269,Pending
L-100270,Missing
L-100271,Available
L-100272,Expired
L-100273,Missing
L-100274,Pending
L-100275,Expired
L-100276,Expired
L-100277,Expired
L-100278,Available
L-100279,Available
L-100280,Expired
L-100281,Missing
L-100282,Pending
L-100283,Pending
L-100284,Expired
L-100285,Expired
L-100286,Expired
L-100287,Expired
L-100288,Pending
L-100289,Missing
L-100290,Expired
L-100291,Available
L-100292,Pending
L-100293,Missing
L-100294,Expired
L-100295,Missing
L-100296,Pending
L-100297,Available
L-100298,Pending
L-100299,Pending
L-100300,Missing
L-100301,Pending
L-100302,Expired
L-100303,Missing
L-100304,Expired
L-100305,Missing
L-100306,Expired
L-100307,Expired
L-100308,Missing
L-100309,Missing
L-100310,Missing
L-100311,Pending
L-100312,Expired
L-100313,Missing
L-100314,Expired
L-100315,Missing
L-100316,Pending
L-100317,Expired
L-100318,Missing
L-100319,Expired
L-100320,Available
L-100321,Pending
L-100322,Expired
L-100323,Missing
L-100324,Missing
L-100325,Missing
L-100326,Pending
L-100327,Pending
L-100328,Expired
L-100329,Expired
L-100330,Expired
L-100331,Available
L-100332,Available
L-100333,Pending
L-100334,Available
L-100335,Pending
L-100336,Expired
L-100337,Available
L-100338,Available
L-100339,Expired
L-100340,Expired
L-100341,Missing
L-100343,Expired
L-100344,Expired
L-100345,Missing
L-100346,Pending
L-100347,Pending
L-100348,Pending
L-100349,Available
L-100350,Missing
L-100351,Pending
L-100352,Available
L-100353,Expired
L-100354,Pending
L-100355,Expired
L-100356,Available
L-100357,Missing
L-100358,Pending
L-100359,Pending
L-100360,Available
L-100361,Missing
L-100362,Missing
L-100363,Available
L-100364,Missing
L-100365,Available
L-100366,Available
L-100367,Expired
L-100368,Missing
L-100369,Pending
L-100370,Expired
L-100371,Expired
L-100372,Available
L-100373,Missing
L-100374,Missing
L-100375,Expired
L-100376,Expired
L-100377,Missing
L-100378,Available
L-100379,Available
L-100380,Missing
L-100381,Missing
L-100382,Available
L-100383,Available
L-100384,Expired
L-100385,Missing
L-100386,Available
L-100387,Pending
L-100388,Missing
L-100389,Available
L-100390,Available
L-100391,Missing
L-100392,Missing
L-100393,Available
L-100394,Pending
L-100395,Missing
L-100396,Missing
L-100397,Available
L-100398,Missing
L-100399,Missing
L-100400,Expired
L-100401,Missing
L-100403,Available
L-100404,Pending
L-100405,Available
L-100406,Missing
L-100407,Available
L-100408,Missing
L-100409,Expired
L-100410,Available
L-100411,Missing
L-100412,Missing
L-100413,Available
L-100414,Expired
L-100415,Expired
L-100416,Missing
L-100417,Available
L-100418,Available
L-100419,Missing
L-100420,Pending
L-100421,Available
L-100422,Missing
L-100423,Available
L-100424,Expired
L-100425,Expired
L-100426,Pending
L-100427,Expired
L-100428,Available
L-100429,Available
L-100430,Available
L-100431,Available
