loan_id,exception_type
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
,missing_required_field
L-100346,duplicate_loan_id
L-101628,duplicate_loan_id
L-100572,duplicate_loan_id
L-101939,duplicate_loan_id
L-101910,duplicate_loan_id
L-100096,duplicate_loan_id
L-101051,duplicate_loan_id
L-101118,duplicate_loan_id
L-101010,duplicate_loan_id
L-100715,duplicate_loan_id
L-101434,duplicate_loan_id
L-100992,duplicate_loan_id
L-100697,duplicate_loan_id
L-101108,duplicate_loan_id
L-101944,duplicate_loan_id
L-101203,duplicate_loan_id
L-101177,duplicate_loan_id
L-100198,duplicate_loan_id
L-100686,duplicate_loan_id
L-100607,duplicate_loan_id
L-999948,duplicate_borrower_loan
L-999548,duplicate_borrower_loan
L-999354,duplicate_borrower_loan
L-999522,duplicate_borrower_loan
L-999398,duplicate_borrower_loan
L-999502,duplicate_borrower_loan
L-999556,duplicate_borrower_loan
L-999613,duplicate_borrower_loan
L-999447,duplicate_borrower_loan
L-999653,duplicate_borrower_loan
L-999227,duplicate_borrower_loan
L-999885,duplicate_borrower_loan
L-999237,duplicate_borrower_loan
L-999415,duplicate_borrower_loan
L-999331,duplicate_borrower_loan
L-999666,duplicate_borrower_loan
L-999883,duplicate_borrower_loan
L-999431,duplicate_borrower_loan
L-999147,duplicate_borrower_loan
L-999805,duplicate_borrower_loan
L-100530,invalid_date_format
L-101856,invalid_date_format
L-100821,invalid_date_format
L-100299,invalid_date_format
L-100217,invalid_date_format
L-100997,invalid_date_format
L-101795,invalid_date_format
L-100790,invalid_date_format
L-100534,invalid_date_format
L-101356,invalid_date_format
L-100396,invalid_date_format
L-101902,invalid_date_format
L-100605,invalid_date_format
L-101238,invalid_date_format
L-101781,invalid_date_format
L-100412,invalid_date_format
L-101757,invalid_date_format
L-101175,invalid_date_format
L-101851,invalid_date_format
L-100586,invalid_date_format
L-100218,maturity_before_origination
L-100871,maturity_before_origination
L-101605,maturity_before_origination
L-101799,maturity_before_origination
L-101887,maturity_before_origination
L-101940,maturity_before_origination
L-101464,maturity_before_origination
L-101540,maturity_before_origination
L-101815,maturity_before_origination
L-100773,maturity_before_origination
L-100919,maturity_before_origination
L-100525,maturity_before_origination
L-101983,maturity_before_origination
L-100068,maturity_before_origination
L-100904,maturity_before_origination
L-101138,maturity_before_origination
L-101831,maturity_before_origination
L-101390,maturity_before_origination
L-101146,maturity_before_origination
L-101376,maturity_before_origination
L-101796,negative_principal
L-101423,negative_principal
L-100859,negative_principal
L-101154,negative_principal
L-101046,negative_principal
L-101506,negative_principal
L-101707,negative_principal
L-101771,negative_principal
,negative_principal
L-101426,negative_principal
L-101839,negative_principal
L-101711,negative_principal
L-101939,negative_principal
L-100737,negative_principal
L-101091,negative_principal
L-100644,negative_principal
L-100914,negative_principal
L-100554,negative_principal
L-101270,negative_principal
L-100154,negative_principal
L-101961,negative_balance
L-101538,negative_balance
L-100176,negative_balance
L-100111,negative_balance
L-100809,negative_balance
L-101322,negative_balance
L-101661,negative_balance
L-101919,negative_balance
L-100894,negative_balance
L-100937,negative_balance
L-101312,negative_balance
L-100309,negative_balance
L-100878,negative_balance
L-100593,negative_balance
L-101944,negative_balance
L-100187,negative_balance
L-101032,negative_balance
L-100916,negative_balance
L-101279,negative_balance
L-100483,negative_balance
L-101337,balance_exceeds_principal
L-101185,balance_exceeds_principal
L-100921,balance_exceeds_principal
L-101101,balance_exceeds_principal
L-101251,balance_exceeds_principal
L-101828,balance_exceeds_principal
L-100649,balance_exceeds_principal
L-100443,balance_exceeds_principal
L-100930,balance_exceeds_principal
L-100968,balance_exceeds_principal
L-100107,balance_exceeds_principal
L-100148,balance_exceeds_principal
L-101980,balance_exceeds_principal
L-100327,balance_exceeds_principal
L-100570,balance_exceeds_principal
L-101177,balance_exceeds_principal
L-100435,balance_exceeds_principal
L-101799,balance_exceeds_principal
L-101727,balance_exceeds_principal
L-100224,balance_exceeds_principal
L-100883,invalid_interest_rate
L-100729,invalid_interest_rate
L-101223,invalid_interest_rate
L-100301,invalid_interest_rate
L-100529,invalid_interest_rate
L-101917,invalid_interest_rate
L-100029,invalid_interest_rate
L-100005,invalid_interest_rate
L-100988,invalid_interest_rate
L-100411,invalid_interest_rate
L-100139,invalid_interest_rate
L-101716,invalid_interest_rate
L-100806,invalid_interest_rate
L-100365,invalid_interest_rate
L-101843,invalid_interest_rate
L-101207,invalid_interest_rate
L-100102,invalid_interest_rate
L-101584,invalid_interest_rate
L-101965,invalid_interest_rate
L-101984,invalid_interest_rate
L-100325,invalid_interest_rate
L-100426,invalid_interest_rate
L-101589,invalid_interest_rate
L-100288,invalid_interest_rate
L-101824,invalid_interest_rate
L-100378,invalid_interest_rate
L-100316,invalid_interest_rate
L-100009,invalid_interest_rate
L-101598,invalid_interest_rate
L-101351,invalid_interest_rate
L-101179,payment_status_inconsistent_dpd
L-101613,payment_status_inconsistent_dpd
L-100235,payment_status_inconsistent_dpd
L-100479,payment_status_inconsistent_dpd
L-101445,payment_status_inconsistent_dpd
L-100371,payment_status_inconsistent_dpd
L-101588,payment_status_inconsistent_dpd
L-100779,payment_status_inconsistent_dpd
L-100014,payment_status_inconsistent_dpd
L-101105,payment_status_inconsistent_dpd
L-101482,payment_status_inconsistent_dpd
L-100001,payment_status_inconsistent_dpd
L-101786,payment_status_inconsistent_dpd
L-101877,payment_status_inconsistent_dpd
L-101661,payment_status_inconsistent_dpd
L-100435,payment_status_inconsistent_dpd
L-101338,payment_status_inconsistent_dpd
L-100094,payment_status_inconsistent_dpd
L-101953,payment_status_inconsistent_dpd
L-100063,payment_status_inconsistent_dpd
L-101847,invalid_document_status
L-101863,invalid_document_status
L-100550,invalid_document_status
L-100149,invalid_document_status
L-101681,invalid_document_status
L-101864,invalid_document_status
L-101997,invalid_document_status
L-100503,invalid_document_status
L-101683,invalid_document_status
L-101304,invalid_document_status
L-100830,invalid_document_status
L-101944,invalid_document_status
L-101339,invalid_document_status
L-100387,invalid_document_status
L-100256,invalid_document_status
L-101204,invalid_document_status
L-101055,invalid_document_status
L-100661,invalid_document_status
,invalid_document_status
L-101499,invalid_document_status
L-101917,stale_record
L-101097,stale_record
L-100546,stale_record
L-101262,stale_record
L-101822,stale_record
L-101391,stale_record
L-101233,stale_record
L-101759,stale_record
L-101051,stale_record
L-101773,stale_record
L-101474,stale_record
L-101643,stale_record
L-100903,stale_record
L-101671,stale_record
L-101976,stale_record
L-100056,stale_record
L-101508,stale_record
L-101020,stale_record
L-101640,stale_record
L-100089,stale_record
L-100872,invalid_state_code
L-100090,invalid_state_code
L-100050,invalid_state_code
L-101021,invalid_state_code
L-100557,invalid_state_code
,invalid_state_code
L-100772,invalid_state_code
L-100203,invalid_state_code
L-101703,invalid_state_code
L-100569,invalid_state_code
L-101612,invalid_state_code
L-100490,invalid_state_code
L-100506,invalid_state_code
L-101785,invalid_state_code
L-100911,invalid_state_code
L-100064,invalid_state_code
L-100104,invalid_state_code
L-101605,invalid_state_code
L-100568,invalid_state_code
L-101501,invalid_state_code
L-101210,suspicious_borrower_repetition
L-100162,suspicious_borrower_repetition
L-101494,suspicious_borrower_repetition
L-101777,suspicious_borrower_repetition
L-101352,suspicious_borrower_repetition
L-100999,closed_loan_with_balance
L-100632,closed_loan_with_balance
L-101826,closed_loan_with_balance
L-101945,closed_loan_with_balance
L-100581,closed_loan_with_balance
L-100403,closed_loan_with_balance
L-100793,closed_loan_with_balance
L-101146,closed_loan_with_balance
L-100896,closed_loan_with_balance
L-100168,closed_loan_with_balance
L-101352,closed_loan_with_balance
L-101491,closed_loan_with_balance
L-101304,closed_loan_with_balance
L-101691,closed_loan_with_balance
L-101735,closed_loan_with_balance
L-101849,closed_loan_with_balance
L-100781,closed_loan_with_balance
L-100488,closed_loan_with_balance
L-101031,closed_loan_with_balance
L-101864,closed_loan_with_balance
L-101438,cross_source_conflict
L-100938,cross_source_conflict
L-100894,cross_source_conflict
L-100381,cross_source_conflict
L-101791,cross_source_conflict
L-100162,cross_source_conflict
L-101856,cross_source_conflict
L-100732,cross_source_conflict
L-101826,cross_source_conflict
L-100978,cross_source_conflict
L-101449,cross_source_conflict
L-101003,cross_source_conflict
L-101638,cross_source_conflict
L-100616,cross_source_conflict
L-101704,cross_source_conflict
L-100012,cross_source_conflict
L-101513,cross_source_conflict
L-100665,cross_source_conflict
L-100522,cross_source_conflict
L-101991,cross_source_conflict
L-100767,cross_source_conflict
L-101706,cross_source_conflict
L-101027,cross_source_conflict
L-100895,cross_source_conflict
L-100878,cross_source_conflict
L-101939,cross_source_conflict
L-101072,cross_source_conflict
L-100305,cross_source_conflict
L-100594,cross_source_conflict
L-101557,cross_source_conflict
L-101104,cross_source_conflict
L-101483,cross_source_conflict
L-101022,cross_source_conflict
L-100629,cross_source_conflict
,cross_source_conflict
L-100561,cross_source_conflict
L-100348,cross_source_conflict
L-101001,cross_source_conflict
L-101036,cross_source_conflict
L-100740,cross_source_conflict
