loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L-100000,B-93810,Auto,2018-04-13,2028-02-20,126221.47,26712.29,0.0423,120,WV,Medical Expenses,A,18 years,>150k,Current,0,Alpha Servicing,2018-08-16,2024-04-08,Available,OriginatePro
L-100001,B-95181,Student,2020-06-21,2050-01-15,296686.51,221786.33,0.0308,360,HI,Other,D,10 years,100k-150k,Current,118,Gamma Collections,2020-11-02,2024-02-13,Available,LendingWeb
L-100002,B-55082,Personal,2018-06-27,2048-01-21,270432.91,237573.31,0.0754,360,OK,Credit Card Refinancing,G,20 years,100k-150k,Charged Off,80,Alpha Servicing,2018-09-11,2024-04-25,Pending,Legacy
L-100003,B-40512,Auto,2022-04-06,2032-02-13,229438.1,176045.18,0.0495,120,MN,Home Improvement,F,8 years,<50k,Charged Off,193,Beta Loan Servicers,2023-11-03,2024-04-06,Expired,Manual
L-100004,B-45382,Mortgage,2021-08-21,2024-08-05,118378.8,14877.87,0.0679,36,LA,Debt Consolidation,B,18 years,100k-150k,Late (16-30 days),26,Delta Financial,2022-10-30,2024-08-05,Pending,OriginatePro
L-100005,B-42325,Personal,2022-10-21,2052-05-16,184188.24,165375.37,0.36561783013837584,360,NY,Debt Consolidation,G,1 years,<50k,Late (16-30 days),26,Beta Loan Servicers,2025-02-08,2024-07-20,Available,Manual
,B-60019,Student,2023-12-08,2033-10-16,485683.8,383021.79,0.0314,120,WA,Debt Consolidation,F,17 years,100k-150k,Closed,0,Gamma Collections,2024-04-30,2024-05-14,Missing,Manual
L-100007,B-10425,Personal,2023-08-13,2028-07-17,256302.43,47448.92,0.105,60,SD,Medical Expenses,E,6 years,50k-100k,Late (31-120 days),72,Alpha Servicing,2025-05-17,2024-06-16,Available,Legacy
L-100008,B-57576,Personal,2020-09-07,2023-08-23,124231.44,68810.0,0.0395,36,WA,Major Purchase,G,2 years,50k-100k,Late (16-30 days),26,Delta Financial,2023-06-03,2024-03-09,Expired,OriginatePro
L-100009,B-80686,Mortgage,2021-06-30,2051-01-24,497598.93,308462.79,-0.048925442828963224,360,ND,Major Purchase,A,7 years,50k-100k,Current,0,Gamma Collections,2021-08-20,2024-04-19,Missing,Legacy
L-101203,B-19305,Auto,2020-07-26,2023-07-11,453182.91,356975.95,0.0385,36,KS,Credit Card Refinancing,F,15 years,50k-100k,Charged Off,64,Delta Financial,2021-04-30,2024-08-26,Expired,OriginatePro
L-100011,B-22363,Auto,2022-11-01,2032-09-09,214671.42,101672.62,0.1175,120,UT,Other,F,3 years,<50k,Default,117,Alpha Servicing,2023-08-12,2024-04-07,Expired,OriginatePro
L-100012,B-65296,Mortgage,2021-02-14,2050-09-10,128654.19,107891.01,0.0832,360,OK,Debt Consolidation,A,20 years,<50k,Current,0,Beta Loan Servicers,2021-09-02,2024-07-16,Expired,OriginatePro
L-100013,B-62565,Auto,2019-11-06,2049-06-01,6066.91,2501.61,0.1412,360,NJ,Credit Card Refinancing,D,17 years,>150k,Late (16-30 days),19,Gamma Collections,2020-07-15,2024-01-19,Available,LendingWeb
L-100014,B-17492,Auto,2023-05-07,2028-04-10,33155.39,16785.34,0.1322,60,CA,Medical Expenses,A,7 years,>150k,Current,108,Beta Loan Servicers,2025-01-18,2024-01-20,Available,Manual
L-100015,B-96163,Personal,2020-12-04,2025-11-08,336514.36,118233.34,0.0619,60,FL,Other,F,9 years,>150k,Late (31-120 days),49,Alpha Servicing,2022-04-17,2024-02-03,Missing,LendingWeb
L-100016,B-27361,Personal,2018-10-09,2023-09-13,187915.91,42506.1,0.13,60,VA,Credit Card Refinancing,E,20 years,<50k,Fully Paid,0,Gamma Collections,2021-06-19,2024-02-05,Pending,Legacy
L-100017,B-24029,Mortgage,2021-01-20,2030-11-29,304390.76,205186.69,0.0544,120,SD,Credit Card Refinancing,E,15 years,100k-150k,Closed,0,Alpha Servicing,2021-05-24,2024-07-27,Pending,Legacy
L-100018,B-10464,Personal,2019-06-20,2029-04-28,84983.08,38537.14,0.1147,120,OK,Debt Consolidation,A,2 years,50k-100k,Charged Off,40,Gamma Collections,2021-03-07,2024-03-14,Missing,Legacy
L-100019,B-50404,Personal,2018-06-13,2028-04-21,108987.89,32655.36,0.0423,120,WY,Medical Expenses,G,13 years,50k-100k,Late (16-30 days),29,Beta Loan Servicers,2020-10-09,2024-03-14,Available,OriginatePro
L-100020,B-53540,Student,2020-10-13,2030-08-22,83802.93,55395.63,0.0759,120,AZ,Major Purchase,B,6 years,>150k,Late (31-120 days),109,Beta Loan Servicers,2021-06-28,2024-01-22,Missing,Manual
L-100021,B-53025,Personal,2018-10-12,2028-08-20,178817.33,90754.18,0.1115,120,OH,Credit Card Refinancing,A,3 years,100k-150k,Late (16-30 days),25,Gamma Collections,2018-12-20,2024-02-20,Expired,LendingWeb
L-100022,B-51114,Student,2023-09-26,2026-09-10,195671.74,109824.76,0.0606,36,VA,Major Purchase,A,16 years,50k-100k,Late (31-120 days),141,Alpha Servicing,2025-09-05,2024-06-20,Pending,Legacy
L-100023,B-49363,Personal,2022-07-31,2032-06-08,204188.19,68714.26,0.0453,120,NE,Other,D,5 years,100k-150k,Default,171,Alpha Servicing,2023-07-07,2024-05-07,Expired,LendingWeb
L-100346,B-70946,Student,2022-12-17,2027-11-21,258031.13,189649.87,0.1452,60,WV,Home Improvement,F,2 years,100k-150k,Charged Off,200,Gamma Collections,2023-04-21,2024-04-22,Pending,OriginatePro
L-100025,B-36100,Mortgage,2018-04-11,2021-03-26,126197.06,60588.35,0.132,36,CA,Major Purchase,D,20 years,50k-100k,Fully Paid,0,Delta Financial,2019-09-29,2024-07-08,Missing,Legacy
L-100026,B-23970,Student,2020-06-15,2025-05-20,403034.38,264684.54,0.0857,60,OK,Home Improvement,G,3 years,>150k,Late (16-30 days),28,Delta Financial,2022-05-29,2024-06-25,Expired,Manual
L-100027,B-81810,Student,2019-10-14,2049-05-09,227784.53,159772.95,0.1308,360,LA,Medical Expenses,D,20 years,50k-100k,Late (31-120 days),143,Alpha Servicing,2021-11-12,2024-05-08,Pending,LendingWeb
,B-51904,Auto,2019-07-21,2024-06-24,119474.43,78274.85,0.1148,60,CA,Major Purchase,D,10 years,>150k,Default,46,Beta Loan Servicers,2021-12-19,2024-07-13,Available,Manual
L-100029,B-72518,Auto,2021-12-11,2031-10-20,377970.19,295859.33,0.36137737001236686,120,NE,Medical Expenses,F,17 years,50k-100k,Default,87,Gamma Collections,2023-04-01,2024-08-01,Expired,LendingWeb
L-100030,B-97670,Student,2019-11-08,2049-06-03,460173.1,407058.81,0.0941,360,MT,Medical Expenses,E,0 years,<50k,Fully Paid,0,Delta Financial,2020-04-24,2024-08-06,Available,LendingWeb
L-100031,B-59689,Personal,2020-05-16,2049-12-10,166788.67,118250.46,0.0755,360,WI,Major Purchase,C,2 years,>150k,Current,0,Alpha Servicing,2021-06-08,2024-04-21,Available,Legacy
L-100032,B-14067,Mortgage,2020-03-27,2023-03-12,312561.15,90904.02,0.0868,36,DE,Medical Expenses,B,14 years,100k-150k,Closed,0,Gamma Collections,2020-10-14,2024-02-25,Missing,LendingWeb
L-100033,B-24168,Auto,2021-07-01,2051-01-25,201343.95,135305.5,0.0391,360,VT,Other,B,3 years,100k-150k,Closed,0,Alpha Servicing,2023-10-24,2024-01-12,Expired,LendingWeb
L-100034,B-19038,Personal,2018-02-21,2047-09-17,412053.8,75995.53,0.1453,360,SD,Major Purchase,F,4 years,>150k,Late (16-30 days),27,Gamma Collections,2019-12-13,2024-08-15,Expired,LendingWeb
L-100035,B-52245,Mortgage,2018-12-21,2028-10-29,441407.44,130255.25,0.0858,120,SC,Other,D,10 years,<50k,Default,114,Beta Loan Servicers,2020-06-02,2024-04-12,Pending,LendingWeb
L-100036,B-46655,Personal,2018-02-11,2023-01-16,47378.42,32030.64,0.0886,60,WI,Home Improvement,F,15 years,>150k,Default,35,Alpha Servicing,2019-01-08,2024-04-13,Missing,LendingWeb
L-100037,B-97026,Personal,2023-04-23,2033-03-01,215624.39,150235.94,0.0697,120,VT,Major Purchase,C,9 years,100k-150k,Late (16-30 days),17,Beta Loan Servicers,2024-04-10,2024-02-24,Missing,OriginatePro
L-100038,B-38361,Student,2021-02-06,2030-12-16,490352.76,375660.57,0.0655,120,MS,Home Improvement,C,0 years,50k-100k,Late (31-120 days),42,Alpha Servicing,2022-09-25,2024-05-23,Missing,Manual
L-100039,B-23446,Auto,2021-03-10,2050-10-04,241963.53,90147.08,0.1459,360,KY,Major Purchase,A,2 years,>150k,Default,49,Alpha Servicing,2021-09-11,2024-03-26,Pending,Legacy
L-100040,B-42530,Auto,2022-09-01,2027-08-06,388968.3,157260.83,0.139,60,MD,Medical Expenses,D,9 years,<50k,Charged Off,56,Beta Loan Servicers,2024-07-02,2024-04-09,Available,OriginatePro
L-100041,B-41439,Mortgage,2018-11-04,2023-10-09,6324.48,2911.81,0.1013,60,ME,Debt Consolidation,B,9 years,100k-150k,Fully Paid,0,Delta Financial,2019-02-14,2024-04-09,Missing,Manual
L-100042,B-25043,Mortgage,2019-09-03,2029-07-12,414182.42,65079.6,0.0499,120,MD,Medical Expenses,F,18 years,100k-150k,Default,62,Delta Financial,2021-09-07,2024-05-23,Expired,LendingWeb
L-100043,B-75597,Student,2022-11-29,2025-11-13,301028.15,244295.88,0.1181,36,RI,Credit Card Refinancing,A,2 years,50k-100k,Fully Paid,0,Alpha Servicing,2025-02-19,2024-05-19,Available,OriginatePro
L-100044,B-71669,Student,2021-02-13,2026-01-18,498488.01,223675.55,0.1277,60,CO,Major Purchase,C,13 years,100k-150k,Late (31-120 days),57,Beta Loan Servicers,2022-02-15,2024-07-23,Expired,LendingWeb
L-100045,B-96846,Student,2018-05-31,2047-12-25,48589.6,14670.13,0.0439,360,WY,Major Purchase,G,16 years,<50k,Fully Paid,0,Delta Financial,2019-08-27,2024-01-07,Pending,Manual
L-100046,B-91973,Student,2018-07-31,2023-07-05,137192.84,28098.55,0.0646,60,VT,Major Purchase,A,0 years,50k-100k,Fully Paid,0,Beta Loan Servicers,2019-07-14,2024-01-18,Expired,Legacy
L-100047,B-39451,Auto,2023-03-06,2026-02-18,325616.3,72670.04,0.1419,36,ME,Medical Expenses,F,8 years,>150k,Closed,0,Delta Financial,2024-07-31,2024-04-15,Missing,Manual
