loan_id,current_balance,interest_rate,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status
L-101438,71602.41,0.0986,Charged Off,147,Beta Loan Servicers,2024-05-08,2024-09-01,Missing
L-100938,103578.17,0.07,Closed,0,Gamma Collections,2020-07-09,2024-09-01,Available
L-100894,134495.87,0.1455,Late (16-30 days),24,Beta Loan Servicers,2025-01-28,2024-09-01,Available
L-100381,271516.32,0.1089,Current,0,Delta Financial,2021-08-20,2024-09-01,Expired
L-101791,34336.26,0.0644,Late (16-30 days),22,Delta Financial,2023-10-14,2024-09-01,Pending
L-100162,198412.09,0.1301,Fully Paid,0,Beta Loan Servicers,2019-12-27,2024-09-01,Expired
L-101856,115965.01,0.0332,Fully Paid,0,Beta Loan Servicers,2023-01-04,2024-09-01,Available
L-100732,460731.5,0.1175,Late (16-30 days),20,Delta Financial,2021-05-21,2024-09-01,Expired
L-101826,215301.79,0.0637,Closed,116,Alpha Servicing,2021-11-21,2024-09-01,Expired
L-100978,269876.45,0.0444,Charged Off,126,Delta Financial,2023-08-12,2024-09-01,Missing
L-101449,218966.42,0.1297,Fully Paid,0,Delta Financial,2020-05-20,2024-09-01,Pending
L-101003,359001.92,0.0869,Late (16-30 days),20,Gamma Collections,2024-07-26,2024-09-01,Pending
L-101638,46580.54,0.0817,Late (16-30 days),20,Beta Loan Servicers,2026-03-10,2024-09-01,Available
L-100616,461735.85,0.1272,Fully Paid,0,Delta Financial,2020-10-19,2024-09-01,Available
L-101704,313419.13,0.1013,Late (31-120 days),154,Delta Financial,2019-08-16,2024-09-01,Pending
L-100012,128654.19,0.0832,Current,0,Beta Loan Servicers,2021-09-02,2024-09-01,Expired
L-101513,47076.75,0.0828,Closed,0,Delta Financial,2023-03-25,2024-09-01,Expired
L-100665,156606.44,0.0523,Charged Off,178,Delta Financial,2022-03-25,2024-09-01,Missing
L-100522,464903.67,0.104,Fully Paid,0,Beta Loan Servicers,2021-10-10,2024-09-01,Expired
L-101991,366027.01,0.0459,Late (16-30 days),25,Beta Loan Servicers,2020-10-18,2024-09-01,Expired
L-100767,115099.92,0.1221,Default,177,Beta Loan Servicers,2020-11-09,2024-09-01,Pending
L-101706,75683.95,0.0492,Default,0,Beta Loan Servicers,2022-06-30,2024-09-01,Expired
L-101027,340298.96,0.1057,Default,116,Alpha Servicing,2021-11-20,2024-09-01,Available
L-100895,31523.01,0.1113,Default,107,Beta Loan Servicers,2019-11-17,2024-09-01,Missing
L-100878,-500.0,0.1329,Default,89,Delta Financial,2024-12-12,2024-09-01,Available
L-101939,73734.43,0.0913,Default,92,Alpha Servicing,2020-10-14,2024-09-01,Expired
L-101072,90196.44,0.089,Default,29,Gamma Collections,2026-03-17,2024-09-01,Pending
